# [0]Expt No., [1]Mon.Day, [2]Material, [3]Tube No., [4]Alpha, [5]Alpha-True, [6]Mean Radius, [7]Thickness, [8]Eccentricity
#1, 02.28, 6061, 1, 0.50, 0.50, 0.8391, 0.0500, 3.68
2, 03.30, 6061, 1, 0.75, 0.76, 0.8385, 0.0498, 2.60
3, 04.15, 6061, 1, 0.90, 0.90, 0.8390, 0.0501, 2.90
4, 04.18, 6061, 1, 0.50, 0.50, 0.8390, 0.0498, 2.48
#5, 04.27, 6061, 1,     ,     , 0.8390, 0.0494, 2.38
#6, 05.02, 6061, 2,0.625,0.625, 0.8388, 0.0500, 4.68
7, 05.04, 6061, 2,0.625,0.621, 0.8395, 0.0500, 5.06
8, 05.13, 6061, 2, 1.00, 1.00, 0.8389, 0.0496, 4.52
#9, 05.20, 6061, 2, 1.20, 1.20, 0.8393, 0.0502, 3.19
10,05.27, 6061, 2, 1.20, 1.20, 0.8337, 0.0399, 4.36
11,06.26, 6061, 2, 0.00, 0.01, 0.8391, 0.0498, 2.29
12,10.17, 6061, 3, 0.25, 0.26, 0.8393, 0.0497, 2.50
#13,11.18, 6061, 3, 0.50, 0.50, 0.8385, 0.0499, 4.07
